Categoria,Objetivo,Prompt (copiar e colar no cliente MCP),Critério de Aceite,Resultado,Observações
1) Smoke / Inicialização,Verificar servidor ativo e conectividade básica,O servidor MCP do Sienge está ativo? Liste uma informação simples (ex.: minha empresa/organização).,Resposta sem erro; retorna pelo menos 1 registro/atributo esperado.,,
1) Smoke / Inicialização,Confirmar versão e ferramentas expostas,Qual é a versão do servidor MCP que está rodando e quais ferramentas ele expõe?,Versão informada; lista de ferramentas corresponde ao README; nomes consistentes.,,
1) Smoke / Inicialização,Medir latência básica (ping),Realize um ping: chame uma ferramenta com filtro inofensivo e retorne a latência total em ms.,Tempo de resposta registrado; sem erros; latência dentro do esperado para consulta leve.,,
1) Smoke / Inicialização,Conferir configuração operacional,"Mostre as variáveis de configuração ativas relevantes (timeout, cache habilitado, base URL), omitindo segredos.",Timeout/cache/endpoint exibidos; sem vazamento de credenciais; valores coerentes com .env.,,
2) A/R,Ver top 10 maiores A/R em aberto,Liste as 10 maiores contas a receber em aberto.,"Retorna até 10 itens ordenados por valor desc; campos id,número,vencimento,valor presentes.",,
2) A/R,Totalizar vencidas por projeto,Liste contas vencidas até hoje e totalize por projeto/empreendimento.,Somatório por projeto presente; datas de vencimento <= hoje; totais batem com contagem.,,
2) A/R,Filtrar por período (vencimento),Busque A/R com vencimento entre 2025-09-01 e 2025-09-30 e retorne valor total e quantidade.,Intervalo aplicado; total e quantidade consistentes; nenhum item fora do período.,,
2) A/R,Listar quitadas no último mês,"Mostre todas as A/R quitadas no último mês, com data de pagamento e forma.",Status quitada; datas dentro do mês; campos de pagamento presentes/não nulos.,,
2) A/R,Filtrar por cliente,"A/R por cliente = 'ACME'; retorne id, número do documento, vencimento, valor.",Somente cliente ACME; campos requisitados presentes; contagem razoável.,,
2) A/R,Filtrar por atraso e valor,A/R acima de R$ 50.000 e atraso > 30 dias; ordene por atraso desc.,Todos itens > 50k e atraso>30; ordenação desc correta.,,
2) A/R,Filtrar por projeto e sumarizar por status,A/R do projeto = {{ID_PROJETO}} e faça o somatório por status.,"Somente do projeto indicado; exibe total por status (aberta, vencida, quitada, etc.).",,
2) A/R,Detectar campos nulos,Liste A/R com algum campo obrigatório ausente e indique quantas linhas vieram com nulos.,Mostra contagem de nulos por campo; não quebra com valores ausentes.,,
3) Projetos/Empresas,Listar projetos ativos,"Liste todos os projetos/empreendimentos ativos: retorne id, nome, CNPJ/inscrição, status.",Somente ativos; campos essenciais presentes; nenhum erro de formato em CNPJ.,,
3) Projetos/Empresas,Buscar projeto por nome (like),Busque projeto pelo nome contendo 'Residencial' e traga endereço e responsável.,Retorna apenas correspondências 'Residencial'; endereço e responsável preenchidos quando disponíveis.,,
3) Projetos/Empresas,Detalhar projeto por ID,"Para o ID do projeto {{ID_PROJETO}}, retorne datas-chave (início, entrega prevista) e status financeiro agregado.",ID corresponde; datas e status financeiro agregados exibidos.,,
3) Projetos/Empresas,Listar fornecedores por CNPJ (pattern),"Empresas (fornecedores) com CNPJ contendo '0001'; retornar CNPJ, razão social, cidade.",Somente fornecedores com padrão informado; campos presentes; formatação ok.,,
3) Projetos/Empresas,Resumo por cidade (contagem e VGV),Crie um resumo por cidade: quantos projetos por cidade e o VGV agregado (se disponível).,Tabela cidade→qtd→VGV; total geral bate com soma por cidades.,,
3) Projetos/Empresas,Validar ordenação,"Traga a mesma lista 1x por nome e 1x por data de criação, comparando o primeiro e último item.",Ordens diferentes conforme critério; sem empates incorretos; primeiros/últimos mudam.,,
